protein_id	gene_names	OR-01	OR-04	OR-07	OR-09	OR-10	OR-13	OR-20	OR-23	OR-25	PD-02	PD-03	PD-04	PD-06	PD-07	PD-08	PD-09	PD-10	PD-11
Q99832	CCT7	78132000	91785000	60826000	49955000	56370000	37171000	77016000	89323000	82751000	55472000	74011000	72024000	85750000	53490000	38245000	50414000	49485000	61910000
Q99873;Q9NR22	PRMT1	14401000	13577000	16319000	33003000	10662000	16722000	46404000	18205000	12341000	35116000	54931000	23519000	28687000	24467000	19934000	23563000	26007000	18364000
Q99933	BAG1	536600	21183000	NA	1122700	NA	NA	NA	1149000	NA	NA	1199700	831750	761340	NA	NA	NA	NA	NA
Q99959	PKP2	NA	4709900	10749000	NA	3666500	2328500	NA	4306200	9071600	13686000	NA	7231100	3918900	3552800	9302300	2730000	NA	8265700
Q99961;Q99962	SH3GL1	5698600	3793400	3835400	5213900	2955000	4038700	3877700	2695500	NA	3749400	9484300	4701100	6512400	NA	8518800	8708900	NA	2503200
Q9BPW8	NIPSNAP1	26145000	41125000	36628000	34644000	22984000	33120000	37515000	32952000	23260000	52012000	22279000	30715000	22448000	19827000	NA	16990000	19145000	15041000
Q9BQ39	DDX50	876850	NA	NA	NA	NA	NA	1145600	1096800	NA	NA	NA	NA	1261600	NA	NA	NA	NA	NA
Q9BQ69	MACROD1	NA	NA	NA	NA	NA	NA	4826800	4335400	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9BQE3	TUBA1C	16378000	7469500	7543400	47678000	11179000	10635000	9949500	9668300	9432800	6136900	18421000	27702000	33449000	8005200	29700000	14707000	10160000	25565000
Q9BQE5	APOL2	1622800	NA	NA	33522000	2137200	2736900	2468200	NA	5432000	3866600	NA	28985000	1159700	1719800	3207900	NA	2428900	NA
Q9BQG0	MYBBP1A	2590400	1898500	NA	1567800	1893500	3239500	1977500	5829900	NA	2851200	2147400	2433700	1736900	NA	4262300	NA	2040500	NA
Q9BQS8	FYCO1	NA	5343700	7107200	7472900	3996200	3909100	3800800	2165700	5801800	3078900	3305300	4179700	3208400	13285000	NA	NA	NA	NA
Q9BR76;A9Z1Z3	CORO1B	56705000	77156000	59336000	39838000	18484000	22513000	31246000	54544000	23142000	26511000	74420000	37307000	34970000	20588000	54769000	25282000	34815000	54356000
Q9BRA2	TXNDC17	13913000	17257000	7206800	9429500	7124100	14543000	10268000	17609000	12690000	19019000	26369000	24652000	22335000	23973000	7676900	26120000	14810000	26058000
Q9BRG1	VPS25	2589700	NA	1827100	3356200	NA	2018200	7277600	1571300	2803200	NA	NA	NA	NA	2453000	NA	NA	1841400	NA
Q9BRJ7	NUDT16L1	6867400	3345300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2218300
Q9BRQ6	CHCHD6	3225700	NA	NA	4020300	NA	NA	NA	3561500	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9BRT3	MIEN1	NA	NA	NA	2040800	NA	NA	4610900	3342400	41749000	2268600	3052500	NA	105650000	63312000	NA	92577000	NA	83789000
Q9BRX8	FAM213A	9315700	10406000	12866000	25783000	9011300	9199700	5930300	12004000	NA	6364200	17454000	4645200	13057000	11079000	NA	11361000	19843000	43355000
Q9BS26	ERP44	14910000	32066000	16916000	27749000	26780000	29392000	21793000	41970000	36044000	17180000	13295000	15467000	15951000	42574000	15671000	26775000	19330000	20092000
Q9BS40	LXN	1853000	2643300	NA	1808600	3479600	NA	NA	4913100	NA	25133000	NA	5742600	5527200	1721900	NA	11792000	NA	13891000
Q9BSD7	NTPCR	1703000	NA	2389100	NA	1898300	NA	NA	NA	NA	2037800	2724400	NA	5335500	NA	NA	NA	4589000	NA
Q9BSH4	TACO1	NA	1969200	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3675700	NA
Q9BSH5	HDHD3	NA	6349200	4371300	4423600	5834500	5190500	4348500	4481800	5051200	3889500	NA	NA	6740300	5566700	NA	NA	22010000	NA
Q9BSJ8	ESYT1	86349000	31846000	52407000	76146000	69489000	69907000	56536000	55864000	80647000	41232000	55318000	101620000	48247000	36542000	44125000	91965000	96443000	85223000
Q9BT22	ALG1	3187600	NA	NA	3841500	5152100	NA	2767200	2024500	NA	NA	1800400	NA	NA	1509000	NA	NA	2735000	1303100
Q9BT78	COPS4	19908000	31571000	12680000	17996000	8778500	18290000	19645000	22082000	12336000	15433000	26115000	14906000	8211800	12703000	12132000	13906000	9891200	10452000
Q9BTT0	ANP32E	9149300	6906700	15466000	11100000	5207200	8772400	23301000	NA	18483000	6505600	11259000	8409800	21736000	4748100	NA	NA	NA	7436000
Q9BTT6	LRRC1	NA	NA	3897900	4776300	7498800	NA	NA	NA	3696300	NA	4487000	NA	2858800	NA	NA	NA	NA	3674900
Q9BTV4	TMEM43	23993000	8776100	20890000	27208000	53561000	7869100	35578000	8760500	16042000	22813000	15192000	16805000	7960600	18543000	NA	91556000	19368000	20916000
Q9BTW9	TBCD	6928600	3525800	NA	2788500	NA	NA	6185900	NA	NA	NA	3345300	NA	NA	NA	NA	NA	NA	NA
Q9BTZ2;Q6PKH6;P0CG22	DHRS4	3578700	6945300	4703200	8653400	1907900	8664900	9053400	4373800	3823800	9054300	5123400	20535000	8275900	3252900	3673200	9101900	3234800	15451000
Q9BUB7	TMEM70	3215500	NA	NA	NA	24118000	NA	3500200	NA	NA	NA	NA	NA	3043400	NA	NA	2984700	NA	NA
Q9BUF5	TUBB6	19546000	NA	3946900	12859000	3368900	1869200	NA	NA	6495200	3607200	2612300	13077000	NA	3103100	8419700	9508700	4613400	NA
Q9BUH6	C9orf142	3229500	9929300	4815300	4890000	7372000	4848700	9825800	12840000	12328000	6244600	8467800	10012000	13036000	29515000	16580000	5419900	2561900	3800300
Q9BUJ2	HNRNPUL1	20426000	22667000	27761000	35919000	19556000	34703000	40901000	30599000	20321000	47268000	41688000	22387000	31398000	25272000	15881000	37363000	13400000	21817000
Q9BUL8	PDCD10	13942000	6869100	5514700	10381000	7067700	5876400	4643900	9216400	NA	4406700	3623900	11442000	4816200	4654300	NA	2743100	6401200	9525300
Q9BUN8	DERL1	14776000	NA	25949000	4943200	8082500	2893200	4461100	16251000	NA	5548300	2844800	3395900	23721000	4981300	10773000	NA	7824500	3311500
Q9BUP0	EFHD1	19866000	5671700	49302000	11490000	9590500	23377000	NA	NA	NA	21183000	10284000	NA	46766000	71349000	28770000	11141000	52318000	16173000
Q9BUQ8	DDX23	22399000	9940300	9424400	7682800	11527000	18757000	13259000	11827000	NA	9476400	10426000	9261700	9870600	7619100	12239000	8503300	10252000	NA
Q9BUR5	APOO	7688700	14931000	11370000	11123000	6938100	6521300	15985000	5368300	8400300	5128500	10073000	NA	4411100	4093400	12480000	7873800	5136500	6292100
Q9BUT1	BDH2	NA	NA	NA	NA	1849100	NA	NA	2982700	NA	4505700	1793900	NA	NA	NA	NA	2118500	NA	NA
Q9BV20	MRI1	2663600	6052000	NA	2052500	2163600	2184100	NA	4438200	NA	3639800	27358000	NA	2522700	2808300	NA	2286400	NA	2451100
Q9BV36	MLPH	NA	4930900	5034000	1181100	NA	NA	1238300	6051200	4852900	5902900	5622600	NA	3906600	19096000	1731500	6311500	NA	NA
Q9BV40	VAMP8	24671000	9067300	NA	18047000	14759000	18884000	14019000	32684000	12021000	9625900	14392000	22117000	29227000	20453000	NA	11325000	11995000	5310000
Q9BVA1	TUBB2B	23328000	6473400	8825400	39620000	12026000	50223000	21163000	78184000	51997000	11629000	35923000	16049000	32055000	NA	NA	36653000	32502000	46527000
Q9BVC6	TMEM109	NA	24604000	NA	39221000	NA	NA	10545000	NA	NA	22524000	23624000	NA	18396000	NA	NA	24698000	36965000	20048000
Q9BVG4	CXorf26	NA	NA	15436000	3329700	NA	NA	NA	3395200	NA	4579600	21784000	3710600	25016000	4643000	NA	6612600	2833800	4628000
