protein_id	gene_names	OR-01	OR-04	OR-07	OR-09	OR-10	OR-13	OR-20	OR-23	OR-25	PD-02	PD-03	PD-04	PD-06	PD-07	PD-08	PD-09	PD-10	PD-11
Q12996	CSTF3	22.5905163377429	23.1521950861827	23.5519474611251	22.6722307423562	23.5366255259799	22.7315279634419	23.5610416291666	22.3830291418439	23.7184914528508	23.8130513348722	23.5633583133141	23.1025649641554	23.3734345002481	22.8310606642802	NA	23.359543337935	22.6231930781329	22.4580763093676
Q13011	ECH1	25.4888846835165	25.6406868623165	25.0047422609149	25.5887697983646	25.8817412577343	25.5486727279298	24.6842929392303	24.4786317544048	24.5993290386146	25.5088557609536	25.8896678881131	25.7127899217938	25.3721901452199	25.4921150502967	24.7070709357514	25.239984767435	26.2365290385001	26.1310399888379
Q13033	STRN3	21.1324893606879	21.4036283581613	21.5364201067505	21.9686230582302	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.4250850610335	NA	NA	NA	NA
Q13045	FLII	23.482741702239	23.8032418892155	23.0983166492391	23.8905096065835	22.7709028937102	24.4746818966545	24.1781488444446	24.2026409956142	23.4157468461642	23.1537579419732	23.8994840422746	24.0491799308616	24.0895421422683	23.503560751566	NA	22.998591917619	24.0232464641977	23.1973750784139
Q13057	COASY	22.4399219553179	22.563426785607	22.5750945075286	22.2314486294111	22.2073330246464	22.5506844163017	23.5649751166572	23.5034022781864	NA	23.2102138025224	23.4665246349985	22.9320831090139	25.0631078262602	23.7116140253434	24.3502619223998	NA	NA	22.0441903146102
Q13085;O00763	ACACA	23.9175921717098	23.6182134617709	22.6578991593021	24.1466907514163	23.0548815610383	23.566775304271	26.9754299665917	23.6600797446132	25.4860896637621	23.921246620835	24.3416761778547	22.8148294846243	23.2086303110066	NA	23.272279374075	23.3196727084162	22.1040186505551	23.7872714660001
Q13098	GPS1	23.4700446342253	24.332134489431	23.0412549504003	23.2936253533795	23.3463503275984	23.5452724037893	23.8812738265764	23.8062102585483	23.4619879498562	23.3071604051422	23.9784271561093	23.0651274802673	22.7031032198997	22.742409977161	23.3904821096608	23.059506255845	22.6361033398373	23.2221983382201
Q13131	PRKAA1	NA	NA	NA	NA	NA	NA	NA	21.5647705609655	NA	21.0222354696517	NA	NA	21.1101365152741	21.7802415790211	NA	NA	NA	NA
Q13136;O75335	PPFIA1	21.6221593130266	22.576536420233	25.1324770544249	22.4865478039347	NA	NA	26.6933055452276	20.2482583940141	24.0312050783157	NA	25.1945462780619	NA	NA	NA	20.9959460383638	20.9638962736124	NA	21.3840069033863
Q13144	EIF2B5	NA	NA	NA	22.1981072075079	NA	21.71471865575	22.0406764481444	22.2580719986239	NA	NA	21.8356823201211	21.5900839833651	21.7690866862031	21.728061811556	22.1573883832912	NA	NA	NA
Q13148	TARDBP	25.1768875494841	25.3033964309177	25.0959401260179	25.4527334421989	25.3201602328529	25.1637618514466	25.2735958017145	24.8312944756469	24.4885939174794	25.3666310568273	25.4713100305427	24.9279790966556	24.9223158314267	24.7509486630354	24.9821562509281	24.5662057570019	24.5016114938868	24.5010035470034
Q13151	HNRNPA0	24.8646123375826	25.0704688645736	25.6716924096202	26.5825152380704	25.1202037970392	25.4543895719684	26.017834081371	25.5110040009197	24.5304892642095	24.9684718477903	26.1578802929928	25.5622455240082	25.0369868013213	24.8412773031409	24.3551497585915	25.1026806465647	24.388558295588	24.7769656248734
Q13153	PAK1	25.4230577118559	26.6224189823961	23.1977546297415	23.7093034636721	22.1728909089432	24.2146214647908	22.2316342283873	22.7356845988514	22.7740323806833	22.4421930311939	22.9973157351951	22.9195650691675	23.9873730118726	22.3899987591949	22.0066557709275	23.3481741300413	23.2780823179308	25.0970298873775
